date_of_submission,species,submitted_sample,submitted_sample_category,vitek_id,bacteria_genus,report_issued_date,type,ans_amikacin,ans_amoxicillin/clavulanic acid,ans_cefalexin,ans_cefazolin,ans_cefixime,ans_cefovecin,ans_cefpodoxime,ans_ceftriaxone,ans_chloramphenicol,ans_clindamycin,ans_doxycycline,ans_enrofloxacin,ans_fosfomycin,ans_gentamicin,ans_imipenem,ans_marbofloxacin,ans_metronidazole,ans_nitrofurantoin,ans_piperacillin/tazobactam,ans_polymyxin b,ans_pradofloxacin,ans_rifampicin,ans_tetracycline,ans_trimethoprim/sulfamethoxazole,S/I/R_amikacin,S/I/R_amoxicillin/clavulanic acid,S/I/R_ampicillin,S/I/R_cefalexin,S/I/R_cefalotin,S/I/R_cefovecin,S/I/R_cefpodoxime,S/I/R_ceftiofur,S/I/R_chloramphenicol,S/I/R_doxycycline,S/I/R_enrofloxacin,S/I/R_esbl,S/I/R_gentamicin,S/I/R_imipenem,S/I/R_marbofloxacin,S/I/R_neomycin,S/I/R_nitrofurantoin,S/I/R_piperacillin,S/I/R_polymyxin b,S/I/R_pradofloxacin,S/I/R_rifampicin,S/I/R_tetracycline,S/I/R_tobramycin,S/I/R_trimethoprim/sulfamethoxazole,id,ans_azithromycin,ans_fluconazole,ans_minocycline,ans_vancomycin,S/I/R_benzylpenicillin,S/I/R_cefoxitin screen,S/I/R_clindamycin,S/I/R_erythromycin,S/I/R_florfenicol,S/I/R_fusidic acid,S/I/R_inducible clindamycin resistance,S/I/R_minocycline,S/I/R_mupirocin,S/I/R_oxacillin,S/I/R_vancomycin
7/6/2016,dog,ub mucosa,urinary tract,GN,escherichia,7/7/2016,train,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,S,S,R,R,,S,S,S,S,,R,-,S,S,R,,S,R,,,,R,S,S,1,,,,,,,,,,,,,,,
6/30/2016,dog,liver,liver,GN,pseudomonas,7/7/2016,train,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,S,R,I,R,,R,R,R,R,,S,,S,S,S,,R,S,,,,S,I,R,2,,,,,,,,,,,,,,,
7/6/2016,dog,abscess,abscess,GN,klebsiella,7/7/2016,train,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,S,S,R,R,,S,S,S,S,,S,-,S,S,S,,I,S,,,,R,S,S,3,,,,,,,,,,,,,,,
7/8/2016,cat,urine,urinary tract,GN,pseudomonas,7/11/2016,train,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,S,R,R,R,,R,R,R,R,,S,,S,S,S,,R,S,S,,,R,S,R,4,,,,,,,,,,,,,,,
7/8/2016,dog,urine,urinary tract,GN,proteus,7/11/2016,train,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,S,R,R,R,,S,S,S,R,,R,,R,,R,,R,R,,,,R,R,R,5,,,,,,,,,,,,,,,
7/8/2016,dog,urine,urinary tract,GN,salmonella,7/11/2016,train,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,R,R,R,R,,S,S,S,S,,S,,R,S,S,,R,R,,,,S,R,S,6,,,,,,,,,,,,,,,
7/8/2016,dog,urine,urinary tract,GN,enterobacter,7/11/2016,train,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,R,R,,R,,R,R,R,R,,R,,R,S,R,,R,R,,,,R,R,R,7,,,,,,,,,,,,,,,
7/8/2016,dog,urine,urinary tract,GN,klebsiella,7/13/2016,train,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,S,R,R,R,,R,I,S,R,,R,,S,S,R,,R,R,,,,R,I,R,8,,,,,,,,,,,,,,,
7/8/2016,cat,nasal discharge,nasal cavity,GN,pseudomonas,7/13/2016,train,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,S,R,R,R,,R,R,R,R,,I,,S,S,S,,R,S,S,,,R,S,R,9,,,,,,,,,,,,,,,
7/7/2016,dog,urine,urinary tract,GN,pseudomonas,7/13/2016,train,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,S,R,R,R,,R,R,R,R,,R,,R,S,R,,R,S,S,,,R,R,R,10,,,,,,,,,,,,,,,
